type,landuse,floors,area,year,pop2011,pop2022,ID,weight
Residential building,Urban,1,77.48099999999998,2011,594,507,160,77.48099999999998
Residential building,Urban,1,26.105,2011,594,507,161,26.105
Residential building,Urban,1,61.563,2011,594,507,162,61.563
Residential building,Urban,1,79.927,2011,594,507,163,79.927
Residential building,Urban,1,86.592,2011,594,507,164,86.592
Residential building,Urban,1,72.21299999999998,2011,594,507,165,72.21299999999998
Residential building,Urban,1,83.717,2011,594,507,166,83.717
Residential building,Urban,1,60.915,2011,594,507,167,60.915
Residential building,Urban,1,62.334,2011,594,507,168,62.334
Residential building,Urban,1,54.715,2011,594,507,169,54.715
Residential building,Urban,1,66.888,2011,594,507,170,66.888
Residential building,Urban,1,81.94199999999998,2011,594,507,171,81.94199999999998
Residential building,Urban,1,83.345,2011,594,507,172,83.345
Residential building,Urban,1,63.354,2011,594,507,173,63.354
Residential building,Urban,2,64.915,2011,594,507,174,129.83
Residential building,Urban,1,68.367,2011,594,507,175,68.367
Residential building,Urban,1,76.882,2011,594,507,176,76.882
Residential building,Urban,1,73.893,2011,594,507,177,73.893
Residential building,Urban,2,83.63899999999998,2011,594,507,178,167.27799999999996
Residential building,Urban,2,74.641,2011,594,507,179,149.282
Residential building,Urban,2,97.012,2011,594,507,180,194.024
Residential building,Urban,1,98.489,2011,594,507,181,98.489
Residential building,Urban,2,116.787,2011,594,507,182,233.574
Residential building,Urban,1,88.58499999999998,2011,594,507,183,88.58499999999998
Residential building,Urban,1,88.623,2011,594,507,184,88.623
Residential building,Urban,1,105.384,2011,594,507,185,105.384
Residential building,Urban,2,92.061,2011,594,507,186,184.122
Residential building,Urban,1,68.093,2011,594,507,187,68.093
Residential building,Urban,1,46.296,2011,594,507,188,46.296
Residential building,Urban,1,50.83,2011,594,507,189,50.83
Residential building,Urban,1,99.505,2011,594,507,190,99.505
Residential building,Urban,1,59.375,2011,594,507,191,59.375
Residential building,Urban,2,84.62099999999998,2011,594,507,192,169.24199999999996
Residential building,Urban,1,83.67799999999998,2011,594,507,193,83.67799999999998
Residential building,Urban,1,42.863,2011,594,507,194,42.863
Residential building,Urban,1,20.824,2011,594,507,195,20.824
Residential building,Urban,1,48.593,2011,594,507,196,48.593
Residential building,Urban,1,58.041,2011,594,507,197,58.041
Residential building,Urban,1,57.504,2011,594,507,198,57.504
Residential building,Urban,2,67.386,2011,594,507,199,134.772
Residential building,Urban,1,73.89,2011,594,507,200,73.89
Residential building,Urban,1,73.479,2011,594,507,201,73.479
Residential building,Urban,1,84.909,2011,594,507,202,84.909
Residential building,Urban,1,85.20099999999998,2011,594,507,203,85.20099999999998
Residential building,Urban,2,21.287,2011,594,507,204,42.574
Residential building,Urban,1,50.234,2011,594,507,205,50.234
Residential building,Urban,1,89.977,2011,594,507,206,89.977
Residential building,Urban,2,77.875,2011,594,507,207,155.75
Residential building,Urban,2,103.301,2011,594,507,208,206.602
Residential building,Urban,2,108.876,2011,594,507,209,217.752
Residential building,Urban,2,65.681,2011,594,507,210,131.362
Residential building,Urban,1,56.895,2011,594,507,211,56.895
