type,landuse,floors,area,year,pop2011,pop2022,ID,weight,weight_share,p11_alloc,p22_alloc,delta_pop,delta_pct,dens11,dens22,delta_dens
Residential building,Urban,1,91.266,2011,594,507,53,91.266,0.0046741730199948,2.7764587738769118,2.3698057211373635,-0.4066530527395482,-14.646464646464667,0.03042161126681252,0.025965920727733915,-0.004455690539078606
Residential building,Urban,1,109.459,2011,594,507,54,109.459,0.005605924491,3.329919147654,2.842203716937,-0.48771543071699996,-14.646464646464647,0.03042161126681223,0.025965920727733672,-0.004455690539078558
Residential building,Urban,2,107.102,2011,594,507,55,214.204,0.0109704222555494,6.516430819796343,5.562004083563545,-0.9544267362327981,-14.646464646464652,0.06084322253362536,0.05193184145546811,-0.008911381078157254
Residential building,Urban,1,111.134,2011,594,507,56,111.134,0.0056917093375858,3.3808753465259653,2.885696634156001,-0.49517871236996447,-14.64646464646464,0.030421611266812726,0.025965920727734095,-0.004455690539078631
Residential building,Urban,2,96.86,2011,594,507,57,193.72000000000003,0.0099213376003484,5.89327453460695,5.030118163376639,-0.8631563712303105,-14.64646464646464,0.060843222533625334,0.05193184145546809,-0.00891138107815724
Residential building,Urban,1,117.115,2011,594,507,58,117.115,0.005998025258439,3.562827003512766,3.040998806028573,-0.5218281974841932,-14.646464646464652,0.030421611266812674,0.025965920727734047,-0.004455690539078627
Residential building,Urban,1,124.14,2011,594,507,59,124.14,0.0063578094657611,3.776538822662093,3.223409399140877,-0.5531294235212161,-14.646464646464658,0.030421611266812414,0.025965920727733825,-0.004455690539078589
Residential building,Urban,2,118.057,2011,594,507,60,236.114,0.0120925392637242,7.182968322652175,6.1309174067081695,-1.0520509159440055,-14.646464646464647,0.06084322253362507,0.051931841455467864,-0.008911381078157206
Residential building,Urban,1,104.963,2011,594,507,61,104.963,0.0053756625983139,3.1931435833984567,2.7254609373451477,-0.467682646053309,-14.646464646464635,0.030421611266812656,0.02596592072773404,-0.004455690539078617
Residential building,Urban,1,96.725,2011,594,507,62,96.725,0.0049537547976135,2.942530349782419,2.5115536823900446,-0.4309766673923745,-14.646464646464647,0.030421611266812296,0.025965920727733727,-0.004455690539078568
Residential building,Urban,1,68.062,2011,594,507,63,68.062,0.0034857840169054,2.0705557060418074,1.7672924965710377,-0.3032632094707697,-14.64646464646464,0.030421611266812722,0.02596592072773409,-0.004455690539078631
Residential building,Urban,1,84.539,2011,594,507,64,84.539,0.0043296508331398,2.571812594885041,2.1951329724018787,-0.37667962248316256,-14.646464646464644,0.030421611266812254,0.025965920727733693,-0.004455690539078561
Residential building,Urban,1,80.334,2011,594,507,65,80.334,0.0041142924570844,2.443889719508133,2.085946275741791,-0.357943443766342,-14.646464646464619,0.03042161126681272,0.0259659207277341,-0.00445569053907862
Residential building,Urban,2,102.759,2011,594,507,66,205.518,0.0105255702093145,6.252188704332813,5.336464096122452,-0.9157246082103612,-14.64646464646464,0.0608432225336254,0.05193184145546815,-0.008911381078157254
Residential building,Urban,1,73.61799999999998,2011,594,507,67,73.61799999999998,0.003770333633401,2.239578178240194,1.911559152134307,-0.32801902610588707,-14.646464646464649,0.03042161126681239,0.025965920727733807,-0.004455690539078582
Residential building,Urban,1,124.91,2011,594,507,68,124.91,0.0063972448877737,3.7999634633375776,3.2434031581012657,-0.556560305236312,-14.646464646464649,0.030421611266812726,0.025965920727734095,-0.004455690539078631
Residential building,Urban,1,98.072,2011,594,507,69,98.072,0.0050227411787186,2.9835082601588483,2.54652977761033,-0.43697848254851834,-14.646464646464652,0.03042161126681263,0.025965920727734012,-0.004455690539078617
Residential building,Urban,1,85.88899999999998,2011,594,507,70,85.88899999999998,0.0043987908587462,2.6128817700952425,2.230186965384324,-0.38269480471091866,-14.646464646464619,0.030421611266812316,0.02596592072773375,-0.004455690539078565
Residential building,Urban,1,63.886,2011,594,507,71,63.886,0.0032719108710296,1.9435150573915825,1.658858811612007,-0.2846562457795754,-14.646464646464654,0.030421611266812483,0.025965920727733887,-0.004455690539078596
Residential building,Urban,1,66.838,2011,594,507,72,66.838,0.0034230970603556,2.033319653851226,1.735510209600289,-0.29780944425093714,-14.646464646464647,0.030421611266812688,0.02596592072773406,-0.004455690539078627
Residential building,Urban,1,105.828,2011,594,507,73,105.828,0.0054199634295357,3.219458277144206,2.7479214587746,-0.47153681836960626,-14.646464646464654,0.030421611266812244,0.02596592072773368,-0.004455690539078565
Residential building,Urban,1,67.78,2011,594,507,74,67.78,0.0034713414337787,2.061976811664548,1.759970106925801,-0.30200670473874713,-14.646464646464654,0.030421611266812452,0.02596592072773386,-0.0044556905390785925
Residential building,Urban,1,68.239,2011,594,507,75,68.239,0.0034948490424849,2.0759403312360307,1.7718884645398445,-0.3040518666961862,-14.64646464646464,0.03042161126681268,0.025965920727734057,-0.004455690539078624
Residential building,Urban,1,64.134,2011,594,507,76,64.134,0.0032846121498076,1.9510596169857144,1.6652983599524531,-0.2857612570332613,-14.646464646464649,0.0304216112668119,0.025965920727733387,-0.004455690539078513
Residential building,Urban,1,65.493,2011,594,507,77,65.493,0.0033542131089181,1.9924025866973516,1.7005860462214766,-0.291816540475875,-14.64646464646466,0.03042161126681251,0.025965920727733904,-0.004455690539078606
Residential building,Urban,1,80.741,2011,594,507,78,80.741,0.0041351368944338,2.456271315293677,2.0965144054779365,-0.3597569098157405,-14.646464646464644,0.030421611266812115,0.025965920727733575,-0.0044556905390785405
Residential building,Urban,1,61.697,2011,594,507,79,61.697,0.0031598015998797,1.8769221503285416,1.6020194111390078,-0.2749027391895338,-14.64646464646464,0.030421611266812674,0.02596592072773405,-0.004455690539078624
Residential building,Urban,1,69.183,2011,594,507,80,69.183,0.0035431958455755,2.104658332271847,1.7964002937067785,-0.3082580385650686,-14.646464646464652,0.03042161126681189,0.025965920727733377,-0.004455690539078513
Residential building,Urban,1,67.806,2011,594,507,81,67.806,0.003472673019457,2.062767773557458,1.760645220864699,-0.3021225526927591,-14.646464646464652,0.030421611266812056,0.02596592072773352,-0.004455690539078537
Residential building,Urban,1,32.254,2011,594,507,82,32.254,0.0016518832488211,0.9812186497997334,0.8375048071522977,-0.1437138426474357,-14.646464646464647,0.030421611266811355,0.025965920727732926,-0.0044556905390784295
Residential building,Urban,1,87.092,2011,594,507,83,87.092,0.0044604023037866,2.64947896844924,2.261423968019806,-0.3880550004294343,-14.646464646464652,0.030421611266812566,0.025965920727733956,-0.00445569053907861
Residential building,Urban,1,69.382,2011,594,507,84,69.382,0.0035533875974983,2.1107122329139902,1.801567511931638,-0.30914472098235213,-14.646464646464647,0.030421611266812577,0.025965920727733967,-0.00445569053907861
Residential building,Urban,2,90.515,2011,594,507,85,181.03,0.0092714213596483,5.5072242876310895,4.700610629341687,-0.8066136582894021,-14.646464646464649,0.06084322253362525,0.05193184145546802,-0.008911381078157234
Residential building,Urban,1,62.151,2011,594,507,86,62.151,0.0031830531344169,1.8907335618436385,1.6138079391493685,-0.27692562269427,-14.646464646464633,0.030421611266812094,0.025965920727733557,-0.004455690539078537
Residential building,Urban,1,41.858,2011,594,507,87,41.858,0.0021437505124684,1.2733878044062297,1.0868815098214788,-0.18650629458475088,-14.646464646464652,0.030421611266812313,0.02596592072773374,-0.004455690539078572
Residential building,Urban,1,81.661,2011,594,507,88,81.661,0.0041822545415137,2.4842591976591377,2.120403052547446,-0.36385614511169173,-14.64646464646464,0.030421611266812035,0.02596592072773351,-0.004455690539078527
Residential building,Urban,1,108.862,2011,594,507,89,108.862,0.0055753492352319,3.311757445727749,2.8267020622625734,-0.4850553834651756,-14.646464646464654,0.030421611266812563,0.025965920727733953,-0.00445569053907861
Residential building,Urban,1,84.101,2011,594,507,90,84.101,0.0043072187359431,2.558487929150201,2.183759899123152,-0.374728030027049,-14.646464646464622,0.03042161126681254,0.025965920727733943,-0.004455690539078596
Residential building,Urban,1,70.92,2011,594,507,91,70.92,0.0036321560118558,2.157500671042345,1.8415030980108904,-0.3159975730314546,-14.646464646464647,0.030421611266812535,0.025965920727733932,-0.004455690539078603
Residential building,Urban,1,93.226,2011,594,507,92,93.226,0.0047745540942085,2.836085131959849,2.420698925763709,-0.41538620619614,-14.646464646464663,0.030421611266812358,0.025965920727733776,-0.004455690539078582
Residential building,Urban,1,84.605,2011,594,507,93,84.605,0.0043330310121695,2.573820421228683,2.1968467231699367,-0.37697369805874636,-14.64646464646464,0.030421611266812636,0.02596592072773402,-0.004455690539078617
